Campaign_ID,Campaign_Date,Influencer,Platform,Category,Followers,Reach,Impressions,Likes,Comments,Shares,Engagements,Spend_USD,Conversions,Revenue_USD,Audience_Group,Engagement_Rate,ROI,Conversion_Rate,Influencer_Type,ROI_Category,Engagement_Category,Cost_Per_Engagement,Cost_Category
CMP00001,2025-08-05,Influencer_17,Instagram,Fashion,934912,217380,307058,7414,295,109,7818,33996.62,1126,49930.08,Millennials,3.596467016284847,46.86777685546386,0.5179869353206367,Macro Influencer,Low ROI,Low Engagement,4.348506011767716,Expensive
CMP00002,2025-01-04,Influencer_82,Facebook,Fitness,1952701,1673390,1739997,52224,8938,3441,64603,11411.81,9664,946041.8,Gen X,3.8606063141288045,8190.024106605351,0.5775103233555835,Mega Influencer,High ROI,Low Engagement,0.1766452022351903,Cost Efficient
CMP00003,2025-01-23,Influencer_236,X,Fashion,1305256,626402,1343783,13496,389,783,14668,5287.46,1418,268063.38,Mixed,2.3416272617264955,4969.794948803395,0.22637220187675006,Mega Influencer,High ROI,Low Engagement,0.36047586583037905,Cost Efficient
CMP00004,2025-01-24,Influencer_117,TikTok,Fashion,662023,607507,1363310,81170,14517,7064,102751,18400.93,6310,1371037.52,Millennials,16.913549967325476,7350.914274441564,1.038671159344666,Macro Influencer,High ROI,High Engagement,0.17908273398799038,Cost Efficient
CMP00005,2025-12-16,Influencer_37,X,Beauty,848261,588832,989305,47919,2674,3037,53630,18085.9,4384,949178.47,Millennials,9.107860985815988,5148.168296850032,0.7445247540894517,Macro Influencer,High ROI,Medium Engagement,0.33723475666604513,Cost Efficient
CMP00006,2025-01-29,Influencer_118,Instagram,Fitness,4481690,5144374,6405279,397987,35392,36505,469884,11370.95,42514,10883521.83,Mixed,9.133939328672449,95613.39096557455,0.8264173639008362,Mega Influencer,High ROI,Medium Engagement,0.024199483276723617,Cost Efficient
CMP00007,2025-11-26,Influencer_235,YouTube,Fitness,2246973,642735,1523091,74441,14368,5886,94695,16076.56,16368,2140556.83,Millennials,14.733132628532756,13214.769017750066,2.546617190599547,Mega Influencer,High ROI,High Engagement,0.16977200485770103,Cost Efficient
CMP00008,2025-03-12,Influencer_261,Facebook,Fashion,2069861,2418602,4373959,306591,28087,29424,364102,29384.88,47457,3863465.47,Gen Z,15.0542338094486,13047.800739700146,1.9621665739133598,Mega Influencer,High ROI,High Engagement,0.08070507714871109,Cost Efficient
CMP00009,2025-09-28,Influencer_129,X,Fashion,920803,367118,455216,44696,6926,525,52147,19545.98,9773,2921286.39,Gen Z,14.204424735371187,14845.71461753261,2.6620868494598464,Macro Influencer,High ROI,High Engagement,0.37482463037183344,Cost Efficient
CMP00010,2025-05-15,Influencer_257,YouTube,Travel,4505433,5299025,11408260,356799,14631,19239,390669,22020.88,59480,1243648.79,Gen Z,7.3724694637220995,5547.588970104737,1.1224706431843594,Mega Influencer,High ROI,Medium Engagement,0.05636710360944944,Cost Efficient
CMP00011,2025-09-29,Influencer_1,X,Fitness,2504536,3241295,5709522,104386,5018,6131,115535,38244.28,17684,5074953.07,Mixed,3.5644703737240824,13169.835567567228,0.5455844037645448,Mega Influencer,High ROI,Low Engagement,0.33101899857186134,Cost Efficient
CMP00012,2025-09-06,Influencer_36,X,Tech,164382,56782,87698,5138,255,34,5427,12423.14,171,7521.09,Millennials,9.557606283681448,-39.459025656959504,0.3011517734493325,Macro Influencer,Low ROI,Medium Engagement,2.2891358024691355,Expensive
CMP00013,2025-07-24,Influencer_192,Facebook,Travel,3987957,5706380,7119795,553406,79517,27735,660658,48235.96,52740,11583060.07,Mixed,11.577532516236213,23913.329619644763,0.9242286703654506,Mega Influencer,High ROI,High Engagement,0.0730119971301339,Cost Efficient
CMP00014,2025-01-17,Influencer_170,Instagram,Travel,1016056,530662,581626,2857,245,117,3219,855.95,70,5887.26,Millennials,0.6066008118161843,587.8041941702202,0.013191070775748027,Mega Influencer,High ROI,Low Engagement,0.265905560733147,Cost Efficient
CMP00015,2025-07-28,Influencer_98,Instagram,Fashion,2337036,2499859,3303201,69469,11861,4682,86012,29022.48,7972,1910836.09,Mixed,3.4406740540166467,6483.986241010418,0.3188979858464018,Mega Influencer,High ROI,Low Engagement,0.3374236153094917,Cost Efficient
CMP00016,2025-06-23,Influencer_56,YouTube,Tech,2973063,2231736,3795149,28501,5526,2681,36708,49216.18,816,30168.78,Millennials,1.644818204303735,-38.70150019769921,0.03656346449580058,Mega Influencer,Low ROI,Low Engagement,1.3407480658167157,Moderately Efficient
CMP00017,2025-10-09,Influencer_51,Instagram,Beauty,4499690,3524146,5754304,292175,30328,8190,330693,43787.05,9890,1424917.66,Gen Z,9.383635070737704,3154.198809922111,0.280635365277148,Mega Influencer,High ROI,Medium Engagement,0.13240996936735885,Cost Efficient
CMP00018,2025-03-26,Influencer_195,Instagram,Food,783344,1100032,2500420,43697,6668,3983,54348,24327.24,6580,1794260.74,Gen X,4.940583546660461,7275.521185305032,0.5981644170351408,Macro Influencer,High ROI,Low Engagement,0.44761978361669247,Cost Efficient
CMP00019,2025-01-30,Influencer_297,X,Fashion,3817886,2179340,4456504,291482,43386,23545,358413,24590.23,24900,2566646.96,Gen X,16.44594234951866,10337.669594794355,1.1425477438123468,Mega Influencer,High ROI,High Engagement,0.06860864421770416,Cost Efficient
CMP00020,2025-02-05,Influencer_35,YouTube,Food,480537,127431,218567,17503,654,121,18278,48058.56,338,87331.06,Gen Z,14.343448611405387,81.71801235825626,0.2652415817187341,Macro Influencer,Medium ROI,High Engagement,2.6293117408906883,Expensive
